,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
2801.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.003,0.006,0.007,0.007
2802.T,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.012,0.011,0.006,0.006,0.009,0.007,0.008
2871.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.006,0.006,0.006
2914.T,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.014,0.025,0.006,0.017,0.009,0.007,0.008
3086.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.004,0.005,0.005
3382.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.026,0.006,0.012,0.008,0.008,0.008
8233.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.005,0.006,0.006
8252.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.006,0.006,0.006
8267.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.008,0.006,0.007,0.006
9983.T,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.004,0.006,0.031,0.01,0.006,0.007
9602.T,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.003,0.006,0.003,0.008,0.007,0.008
9735.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.032,0.006,0.005,0.008,0.008,0.008
9766.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.005,0.005,0.005
1605.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.005,0.005,0.005,0.005
3401.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.006,0.006,0.006
3402.T,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.008,0.02,0.006,0.003,0.007,0.007,0.007
3861.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.007,0.007,0.007
3405.T,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.017,0.03,0.006,0.001,0.007,0.007,0.008
3407.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.003,0.006,0.007,0.006
4004.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.005,0.006,0.006
4005.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.005,0.006,0.006
4021.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.006,0.006,0.006
4042.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.005,0.006,0.005
4061.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.006,0.006,0.006
4063.T,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.025,0.056,0.006,0.019,0.008,0.008,0.008
4183.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.005,0.006,0.006
